Crop,Region,Season,Temperature_C,Humidity_%,Soil_pH,Soil_Moisture_%,Fertilizer_Name,Fertilizer_Amount_kg,Pesticide_Name,Pesticide_Amount_kg
Rice,Punjab,Rabi,26.63,66.27,6.57,45.96,Urea,166.12,Cartap Hydrochloride,3.471
Groundnut,Rajasthan,Rabi,31.3,81.15,5.71,29.95,Gypsum,54.03,Carbendazim,2.667
Groundnut,Rajasthan,Kharif,25.93,70.51,6.46,40.05,Urea,104.05,Carbendazim,2.045
Mustard,Rajasthan,Rabi,26.55,68.17,7.46,43.37,Compost,67.01,Carbendazim,1.747
Rice,Uttar Pradesh,Zaid,29.55,66.44,5.88,27.95,MOP,140.79,Imidacloprid,3.051
Sugarcane,Maharashtra,Rabi,27.73,68.6,6.42,23.73,Potash,200.68,Imidacloprid,3.457
Rice,Punjab,Rabi,30.33,98.1,7.38,40.2,Urea,162.84,Cartap Hydrochloride,5.547
Pulses,Karnataka,Zaid,35.64,57.34,6.8,47.37,Compost,58.93,Thiamethoxam,2.141
Groundnut,Uttar Pradesh,Kharif,23.27,76.57,5.83,39.26,Compost,57.6,Carbendazim,2.509
Rice,Odisha,Kharif,26.01,84.44,6.31,45.95,Urea,167.64,Chlorpyrifos,4.85
Sugarcane,Rajasthan,Rabi,31.13,76.67,6.1,31.72,NPK,241.83,Malathion,4.892
Wheat,Maharashtra,Rabi,31.12,62.51,6.71,46.82,NPK,143.91,Carbendazim,2.222
Pulses,Odisha,Zaid,28.7,61.77,7.1,31.28,DAP,83.1,Thiamethoxam,1.677
Rice,Rajasthan,Kharif,26.02,87.72,5.7,38.98,MOP,149.71,Chlorpyrifos,4.844
Sugarcane,Uttar Pradesh,Rabi,32.42,83.87,7.21,43.52,Potash,207.65,Chlorpyrifos,5.433
Wheat,Maharashtra,Kharif,30.12,68.83,6.07,25.73,SSP,119.23,Propiconazole,2.412
Cotton,Odisha,Rabi,29.75,74.14,7.47,45.02,Potash,150.46,Imidacloprid,3.34
Mustard,Punjab,Kharif,30.1,54.94,6.22,22.1,Urea,106.58,Carbendazim,1.517
Mustard,Uttar Pradesh,Rabi,29.49,54.83,6.37,30.97,SSP,104.05,Mancozeb,1.741
Groundnut,Uttar Pradesh,Rabi,27.14,64.15,6.01,31.82,Gypsum,46.94,Dimethoate,2.016
Maize,Karnataka,Rabi,30.81,78.51,5.84,16.89,Compost,71.36,Chlorantraniliprole,3.749
Maize,Tamil Nadu,Rabi,23.57,62.53,6.23,21.86,Urea,117.47,Imidacloprid,2.27
Cotton,Punjab,Zaid,22.62,71.16,5.93,39.59,Potash,140.18,Buprofezin,2.813
Pulses,Punjab,Rabi,29.98,71.07,6.58,39.91,DAP,94.18,Imidacloprid,1.99
Pulses,Rajasthan,Rabi,21.11,90.38,5.73,44.89,NPK,99.7,Imidacloprid,3.373
Mustard,Bihar,Zaid,25.41,70.71,6.04,31.49,Compost,59.26,Carbendazim,2.032
Cotton,Odisha,Kharif,29.82,73.27,7.51,34.49,Potash,141.71,Acephate,3.615
Maize,Odisha,Zaid,37.68,70.81,5.51,28.63,Compost,70.35,Chlorantraniliprole,3.547
Wheat,Punjab,Rabi,26.2,69.21,6.61,41.33,SSP,121.66,Carbendazim,1.97
Cotton,Karnataka,Zaid,33.25,63.39,6.16,52.08,Compost,107.45,Acephate,3.59
Sugarcane,Bihar,Kharif,28.27,72.06,6.4,42.15,Potash,203.64,Malathion,4.485
Mustard,Tamil Nadu,Rabi,26.89,48.56,7.65,30.16,Compost,62.14,Mancozeb,1.671
Rice,Bihar,Rabi,18.62,63.67,7.1,63.96,MOP,149.6,Cartap Hydrochloride,3.145
Cotton,Odisha,Zaid,24.03,62.3,6.3,38.42,NPK,181.72,Buprofezin,2.104
Wheat,Bihar,Zaid,25.66,89.0,5.99,62.57,SSP,127.66,Carbendazim,3.457
Wheat,Bihar,Zaid,31.74,66.3,6.74,32.76,Urea,135.47,Propiconazole,2.54
Mustard,Tamil Nadu,Zaid,26.51,51.33,6.57,34.69,Compost,64.14,Mancozeb,1.874
Cotton,Tamil Nadu,Zaid,27.04,83.78,7.0,49.15,NPK,184.73,Imidacloprid,4.013
Mustard,Uttar Pradesh,Rabi,25.41,95.21,5.65,38.52,Compost,64.4,Carbendazim,3.063
Groundnut,Uttar Pradesh,Kharif,24.34,57.91,6.67,42.0,Compost,62.03,Chlorpyrifos,2.054
Pulses,Odisha,Zaid,29.38,65.21,6.85,47.08,DAP,86.6,Thiamethoxam,1.935
Groundnut,Uttar Pradesh,Rabi,25.12,94.74,6.79,45.8,Gypsum,59.34,Dimethoate,3.96
Cotton,Tamil Nadu,Kharif,28.54,77.52,5.94,43.57,Compost,104.84,Imidacloprid,3.849
Maize,Bihar,Kharif,28.26,74.87,6.07,40.56,DAP,117.39,Chlorantraniliprole,3.239
Pulses,Odisha,Rabi,19.34,67.14,5.06,22.48,Compost,49.61,Mancozeb,1.863
Rice,Rajasthan,Zaid,29.86,65.18,6.93,62.53,DAP,157.48,Imidacloprid,3.19
Maize,Maharashtra,Rabi,32.95,72.53,7.0,34.16,DAP,113.77,Lambda-Cyhalothrin,3.908
Wheat,Uttar Pradesh,Zaid,30.62,87.04,6.1,51.31,SSP,129.09,Propiconazole,3.665
Groundnut,Punjab,Zaid,32.62,87.54,6.59,61.8,Compost,72.25,Dimethoate,4.048
Mustard,Tamil Nadu,Zaid,26.48,76.9,6.11,49.53,Compost,64.46,Carbendazim,2.45
Pulses,Maharashtra,Kharif,28.46,70.68,6.59,30.45,NPK,98.06,Mancozeb,2.134
Maize,Karnataka,Rabi,29.97,59.98,6.45,49.78,Urea,133.7,Lambda-Cyhalothrin,2.586
Mustard,Rajasthan,Zaid,26.69,58.53,7.22,31.32,SSP,97.08,Imidacloprid,1.446
Maize,Karnataka,Rabi,25.08,79.82,6.86,61.76,Compost,80.69,Chlorantraniliprole,3.931
Pulses,Bihar,Kharif,32.88,56.23,5.99,37.5,Compost,49.6,Imidacloprid,1.61
Rice,Punjab,Rabi,22.61,81.34,7.49,35.36,MOP,144.23,Imidacloprid,3.606
Mustard,Tamil Nadu,Zaid,29.17,61.73,6.15,47.15,Urea,121.78,Mancozeb,2.396
Groundnut,Odisha,Rabi,27.43,70.41,5.82,45.61,Gypsum,46.67,Chlorpyrifos,2.939
Maize,Rajasthan,Zaid,23.27,65.27,6.44,18.37,Urea,121.59,Chlorantraniliprole,2.274
Groundnut,Maharashtra,Kharif,20.89,67.79,6.31,30.09,Compost,56.89,Dimethoate,2.318
Maize,Uttar Pradesh,Zaid,27.0,80.82,5.88,56.25,Urea,122.85,Chlorantraniliprole,3.574
Maize,Tamil Nadu,Zaid,24.38,70.03,6.39,29.27,Compost,72.32,Lambda-Cyhalothrin,3.268
Pulses,Maharashtra,Zaid,32.72,82.79,6.99,47.62,NPK,110.09,Imidacloprid,3.241
Maize,Tamil Nadu,Rabi,25.28,77.47,6.8,9.47,DAP,106.49,Imidacloprid,2.904
Pulses,Maharashtra,Rabi,28.54,76.69,6.41,33.55,NPK,100.23,Thiamethoxam,2.649
Rice,Tamil Nadu,Zaid,25.58,79.73,6.53,36.09,DAP,153.44,Cartap Hydrochloride,4.213
Wheat,Tamil Nadu,Zaid,30.3,72.36,6.4,46.61,NPK,148.66,Carbendazim,2.096
Sugarcane,Rajasthan,Rabi,25.48,58.64,6.36,36.45,Potash,202.61,Malathion,3.056
Sugarcane,Maharashtra,Kharif,31.64,67.24,6.45,41.09,Potash,201.93,Imidacloprid,3.319
Rice,Tamil Nadu,Rabi,23.3,70.13,6.67,24.16,DAP,147.95,Cartap Hydrochloride,3.092
Rice,Tamil Nadu,Zaid,21.12,70.87,7.09,24.37,MOP,135.6,Imidacloprid,2.917
Mustard,Uttar Pradesh,Rabi,26.05,55.33,5.47,12.59,Compost,56.82,Carbendazim,1.306
Mustard,Maharashtra,Rabi,26.56,70.13,5.42,53.56,SSP,97.18,Imidacloprid,2.093
Mustard,Tamil Nadu,Zaid,35.61,67.16,6.92,36.55,Urea,112.49,Carbendazim,2.259
Rice,Karnataka,Kharif,27.6,80.86,6.59,10.98,MOP,142.44,Imidacloprid,3.701
Wheat,Rajasthan,Zaid,21.21,56.48,5.43,28.29,NPK,134.09,Propiconazole,1.501
Groundnut,Karnataka,Rabi,30.83,67.18,6.62,33.97,Urea,105.33,Chlorpyrifos,2.513
Cotton,Maharashtra,Rabi,26.77,55.76,7.09,37.72,Potash,147.45,Imidacloprid,2.351
Rice,Punjab,Zaid,26.59,53.66,5.52,19.17,MOP,140.07,Imidacloprid,2.503
Sugarcane,Tamil Nadu,Rabi,31.59,66.75,6.67,5,Urea,226.3,Malathion,3.74
Cotton,Odisha,Rabi,31.13,46.44,6.39,43.71,NPK,183.32,Buprofezin,2.661
Maize,Rajasthan,Rabi,29.41,73.36,4.83,65.21,DAP,119.42,Imidacloprid,3.415
Sugarcane,Bihar,Kharif,26.73,64.34,6.99,35.06,Potash,200.58,Chlorpyrifos,3.816
Groundnut,Karnataka,Kharif,29.43,59.4,6.43,40.48,Gypsum,48.64,Chlorpyrifos,2.15
Wheat,Bihar,Rabi,30.66,79.22,6.54,33.35,SSP,123.44,Mancozeb,3.476
Pulses,Karnataka,Zaid,28.96,70.55,6.07,31.81,DAP,91.82,Imidacloprid,2.293
Maize,Tamil Nadu,Zaid,32.64,63.5,6.01,34.78,Urea,114.83,Imidacloprid,2.376
Rice,Odisha,Rabi,30.21,61.9,5.66,68.14,Urea,161.62,Chlorpyrifos,3.747
Groundnut,Punjab,Kharif,32.39,84.67,6.61,55.4,Compost,68.64,Dimethoate,4.366
Cotton,Punjab,Kharif,27.04,58.59,5.5,48.73,Potash,140.01,Acephate,3.053
Sugarcane,Karnataka,Zaid,20.28,62.83,6.51,12.21,Potash,190.5,Chlorpyrifos,3.655
Mustard,Odisha,Zaid,28.59,70.62,6.81,28.27,Urea,107.21,Mancozeb,2.464
Pulses,Rajasthan,Kharif,22.47,61.73,6.27,35.05,Compost,57.2,Imidacloprid,1.37
Groundnut,Punjab,Kharif,27.04,71.08,5.85,42.77,Compost,63.32,Carbendazim,2.101
Sugarcane,Karnataka,Zaid,25.75,72.2,7.39,55.59,Urea,237.32,Chlorpyrifos,4.432
Sugarcane,Karnataka,Rabi,28.36,66.27,6.06,28.3,NPK,249.25,Malathion,4.032
Mustard,Bihar,Rabi,23.09,82.68,7.4,29.1,SSP,93.21,Mancozeb,2.793
Pulses,Punjab,Kharif,27.34,77.04,6.7,30.31,DAP,87.24,Imidacloprid,2.473
Groundnut,Punjab,Zaid,22.57,86.21,5.49,21.57,Urea,99.23,Chlorpyrifos,3.334
Cotton,Odisha,Kharif,26.98,65.47,7.22,59.36,Potash,146.32,Acephate,3.138
Mustard,Punjab,Zaid,26.88,63.43,6.94,66.89,Compost,66.8,Mancozeb,2.453
Maize,Uttar Pradesh,Zaid,33.04,64.51,6.63,44.94,Urea,127.12,Lambda-Cyhalothrin,3.298
Cotton,Odisha,Zaid,26.3,98.27,7.39,40.18,Potash,149.08,Buprofezin,4.128
Mustard,Bihar,Kharif,27.64,66.94,6.46,54.29,SSP,109.3,Mancozeb,2.348
Cotton,Maharashtra,Zaid,25.34,50.5,6.83,30.95,Potash,141.53,Buprofezin,2.46
Groundnut,Uttar Pradesh,Zaid,32.76,56.07,6.39,49.25,Gypsum,50.27,Carbendazim,1.689
Mustard,Maharashtra,Kharif,30.16,72.91,6.05,40.07,Compost,70.65,Mancozeb,2.699
Maize,Odisha,Rabi,23.46,82.8,6.52,30.33,Urea,121.37,Imidacloprid,3.14
Pulses,Rajasthan,Zaid,30.37,76.52,5.99,41.2,NPK,101.51,Thiamethoxam,2.632
Sugarcane,Tamil Nadu,Zaid,26.87,64.49,6.57,40.38,Potash,198.53,Chlorpyrifos,3.711
Wheat,Odisha,Zaid,28.72,53.96,6.53,37.62,SSP,115.41,Carbendazim,1.467
Rice,Odisha,Rabi,26.26,64.51,6.99,35.23,DAP,156.08,Cartap Hydrochloride,3.172
Groundnut,Uttar Pradesh,Rabi,34.9,69.59,6.25,25.34,Gypsum,46.67,Carbendazim,2.598
Groundnut,Punjab,Zaid,29.4,69.09,6.02,31.71,Gypsum,48.97,Chlorpyrifos,3.023
Wheat,Maharashtra,Zaid,21.92,77.81,6.49,26.92,SSP,113.54,Propiconazole,2.565
Groundnut,Karnataka,Rabi,27.57,64.31,7.28,36.27,Urea,100.72,Dimethoate,2.216
Wheat,Uttar Pradesh,Zaid,32.25,61.29,6.03,32.85,SSP,114.19,Propiconazole,2.26
Maize,Maharashtra,Zaid,28.44,52.61,5.59,29.12,DAP,103.88,Lambda-Cyhalothrin,2.666
Maize,Rajasthan,Rabi,31.04,52.61,5.58,63.93,DAP,116.01,Chlorantraniliprole,2.706
Maize,Bihar,Zaid,36.76,67.68,5.56,18.15,Compost,72.34,Imidacloprid,2.876
Rice,Uttar Pradesh,Kharif,25.24,51.34,6.23,54.16,Urea,170.07,Chlorpyrifos,3.47
Sugarcane,Tamil Nadu,Rabi,25.79,65.76,6.79,46.41,Urea,231.58,Chlorpyrifos,4.027
Cotton,Karnataka,Zaid,26.76,72.19,6.5,54.89,Compost,114.52,Imidacloprid,3.229
Groundnut,Bihar,Zaid,23.77,53.3,6.0,45.06,Urea,107.15,Carbendazim,1.842
Rice,Tamil Nadu,Rabi,29.22,95.75,6.31,41.94,DAP,162.94,Cartap Hydrochloride,5.181
Maize,Maharashtra,Zaid,23.75,62.79,7.7,31.89,Urea,119.27,Lambda-Cyhalothrin,2.585
Cotton,Uttar Pradesh,Kharif,35.0,59.11,5.81,42.73,Compost,101.97,Imidacloprid,2.733
Sugarcane,Uttar Pradesh,Kharif,31.27,61.19,5.88,47.61,NPK,253.73,Imidacloprid,3.355
Mustard,Maharashtra,Rabi,26.28,76.45,6.3,49.63,Compost,73.71,Mancozeb,2.907
Pulses,Tamil Nadu,Zaid,29.88,70.4,6.04,38.71,Compost,61.86,Thiamethoxam,2.174
Rice,Punjab,Rabi,26.75,51.54,6.49,57.65,Urea,169.34,Chlorpyrifos,3.476
Mustard,Odisha,Zaid,33.16,61.54,6.54,40.47,SSP,103.91,Imidacloprid,2.409
Cotton,Odisha,Zaid,24.15,65.26,5.19,37.97,Compost,101.04,Acephate,2.838
Wheat,Maharashtra,Zaid,22.35,70.26,7.4,21.04,Urea,121.18,Mancozeb,2.611
Rice,Tamil Nadu,Zaid,35.28,72.81,6.74,44.74,DAP,160.9,Imidacloprid,3.975
Wheat,Punjab,Kharif,34.46,58.42,7.15,43.3,Urea,135.59,Mancozeb,2.526
Rice,Tamil Nadu,Kharif,21.39,79.77,6.64,51.2,MOP,150.46,Imidacloprid,3.689
Mustard,Tamil Nadu,Zaid,24.18,74.88,7.16,51.61,Urea,110.93,Carbendazim,2.305
Sugarcane,Punjab,Rabi,23.84,72.02,7.38,40.27,Urea,220.13,Malathion,4.113
Rice,Odisha,Zaid,25.88,66.69,7.56,55.34,Urea,170.58,Imidacloprid,3.323
Mustard,Bihar,Rabi,27.93,57.5,6.05,51.36,Compost,68.87,Mancozeb,2.046
Pulses,Tamil Nadu,Kharif,33.76,74.01,6.85,17.71,NPK,97.61,Thiamethoxam,2.408
Wheat,Maharashtra,Kharif,24.99,67.57,7.28,55.06,Urea,141.14,Mancozeb,2.624
Groundnut,Uttar Pradesh,Zaid,25.89,80.86,6.85,62.81,Compost,62.48,Dimethoate,3.669
Cotton,Odisha,Rabi,29.48,70.29,6.7,55.04,Compost,98.88,Acephate,3.388
Rice,Uttar Pradesh,Rabi,23.03,84.5,5.59,22.34,MOP,136.92,Cartap Hydrochloride,4.054
Groundnut,Bihar,Rabi,30.49,64.14,6.69,48.11,Urea,108.77,Chlorpyrifos,2.493
Cotton,Punjab,Kharif,24.89,86.59,6.9,38.46,Potash,150.19,Acephate,4.257
Groundnut,Karnataka,Rabi,31.06,73.12,6.71,48.73,Compost,69.0,Carbendazim,2.364
Cotton,Punjab,Kharif,35.25,46.88,4.84,26.56,NPK,170.36,Buprofezin,2.57
Maize,Rajasthan,Zaid,29.63,76.37,7.29,53.16,DAP,125.96,Imidacloprid,3.296
Mustard,Odisha,Zaid,35.33,79.26,6.57,45.58,Urea,123.99,Imidacloprid,3.221
Rice,Bihar,Rabi,24.93,64.02,6.95,33.06,Urea,157.11,Cartap Hydrochloride,3.235
Rice,Rajasthan,Zaid,28.02,68.84,7.77,38.19,Urea,154.65,Chlorpyrifos,3.9
Sugarcane,Rajasthan,Zaid,34.82,68.07,7.37,53.17,NPK,246.14,Chlorpyrifos,4.697
Rice,Uttar Pradesh,Kharif,25.05,59.03,5.79,37.7,MOP,141.37,Imidacloprid,2.543
Groundnut,Uttar Pradesh,Rabi,30.26,55.1,6.28,31.19,Compost,65.18,Dimethoate,2.421
Groundnut,Maharashtra,Zaid,31.88,57.71,5.93,46.46,Compost,62.06,Chlorpyrifos,2.43
Wheat,Tamil Nadu,Kharif,23.07,83.07,5.92,42.94,SSP,124.89,Propiconazole,3.117
Groundnut,Punjab,Rabi,27.6,81.42,6.32,48.54,Gypsum,55.85,Dimethoate,3.612
Wheat,Rajasthan,Kharif,27.44,69.38,6.48,44.45,Urea,133.34,Carbendazim,2.059
Groundnut,Rajasthan,Kharif,32.93,58.9,6.63,44.7,Gypsum,54.78,Carbendazim,1.789
Maize,Tamil Nadu,Rabi,31.97,65.85,7.68,41.39,Compost,73.42,Imidacloprid,2.919
Cotton,Odisha,Zaid,29.47,80.29,6.18,41.39,Compost,103.89,Buprofezin,3.162
Pulses,Karnataka,Kharif,29.99,62.5,6.07,49.21,DAP,95.27,Imidacloprid,1.939
Pulses,Bihar,Rabi,21.75,55.41,5.91,37.99,Compost,48.36,Mancozeb,1.479
Maize,Punjab,Zaid,27.87,76.16,8.03,41.26,Urea,117.25,Lambda-Cyhalothrin,3.522
Rice,Karnataka,Rabi,31.29,77.06,5.69,39.05,MOP,152.19,Imidacloprid,3.707
Cotton,Tamil Nadu,Zaid,29.59,83.05,6.14,35.07,Potash,147.91,Imidacloprid,4.187
Mustard,Tamil Nadu,Rabi,27.85,77.73,7.05,47.09,Compost,68.72,Carbendazim,2.3
Groundnut,Maharashtra,Rabi,27.55,82.46,6.29,36.16,Urea,105.24,Chlorpyrifos,3.727
Wheat,Bihar,Rabi,27.72,61.03,6.74,36.88,Urea,137.12,Mancozeb,2.246
Cotton,Maharashtra,Kharif,31.66,50.72,6.05,45.02,NPK,180.04,Imidacloprid,3.04
Mustard,Maharashtra,Zaid,23.15,64.87,6.31,31.54,Compost,71.88,Mancozeb,1.915
Maize,Karnataka,Kharif,28.41,50.1,6.03,37.63,Urea,114.4,Chlorantraniliprole,2.216
Rice,Odisha,Zaid,28.03,64.26,5.6,46.15,Urea,161.03,Chlorpyrifos,3.334
Maize,Punjab,Rabi,32.77,76.48,6.67,42.19,Compost,84.18,Lambda-Cyhalothrin,4.219
Cotton,Punjab,Rabi,25.94,81.7,7.15,62.07,Compost,109.04,Buprofezin,3.671
Groundnut,Tamil Nadu,Zaid,26.1,54.7,7.08,35.03,Compost,65.41,Chlorpyrifos,2.206
Sugarcane,Uttar Pradesh,Zaid,23.16,48.08,6.4,41.41,Urea,238.05,Imidacloprid,2.748
Wheat,Uttar Pradesh,Kharif,30.59,72.34,6.47,52.04,Urea,140.21,Carbendazim,2.29
Rice,Odisha,Zaid,35.86,64.69,6.77,37.93,DAP,150.97,Chlorpyrifos,3.882
Pulses,Bihar,Zaid,26.41,76.13,6.98,42.23,NPK,95.53,Imidacloprid,2.218
Rice,Karnataka,Zaid,29.59,77.45,5.78,34.54,Urea,165.72,Chlorpyrifos,4.233
Mustard,Rajasthan,Rabi,26.27,59.26,6.02,33.15,SSP,96.57,Imidacloprid,2.017
Maize,Rajasthan,Rabi,18.91,89.89,6.75,30.75,Urea,124.7,Lambda-Cyhalothrin,4.488
Wheat,Bihar,Rabi,27.98,42.01,5.02,41.93,NPK,123.31,Propiconazole,1.813
Rice,Tamil Nadu,Zaid,29.42,71.95,6.37,23.68,Urea,156.99,Imidacloprid,3.414
Mustard,Bihar,Kharif,31.23,84.49,6.41,20.54,SSP,100.16,Mancozeb,3.33
Groundnut,Rajasthan,Zaid,21.37,77.65,6.22,27.66,Gypsum,54.43,Dimethoate,2.92
Maize,Tamil Nadu,Rabi,29.58,76.1,6.07,53.28,DAP,123.74,Chlorantraniliprole,3.91
Maize,Maharashtra,Zaid,21.64,64.13,6.17,38.49,Compost,74.59,Chlorantraniliprole,2.425
Maize,Punjab,Zaid,26.39,83.51,5.64,33.68,DAP,116.8,Chlorantraniliprole,3.881
Wheat,Rajasthan,Kharif,34.63,73.32,6.74,39.93,Urea,138.14,Propiconazole,2.895
Sugarcane,Punjab,Zaid,25.14,74.35,6.41,49.71,NPK,252.63,Malathion,4.218
Cotton,Rajasthan,Kharif,32.85,63.84,5.81,33.3,Potash,145.67,Imidacloprid,2.98
Wheat,Bihar,Zaid,31.37,60.07,5.77,19.06,SSP,110.02,Carbendazim,1.809
Rice,Odisha,Kharif,25.98,67.79,6.11,32.78,MOP,143.52,Cartap Hydrochloride,3.411
Mustard,Karnataka,Kharif,29.59,58.57,6.52,53.51,Compost,66.98,Mancozeb,1.874
Mustard,Uttar Pradesh,Kharif,29.59,68.96,6.98,41.77,Compost,73.59,Imidacloprid,2.266
Maize,Uttar Pradesh,Zaid,28.14,60.6,5.77,31.67,Urea,116.29,Lambda-Cyhalothrin,2.657
Maize,Uttar Pradesh,Zaid,25.74,97.51,6.49,52.02,DAP,124.57,Imidacloprid,4.468
Rice,Punjab,Rabi,25.23,62.29,6.95,43.64,MOP,145.95,Chlorpyrifos,3.188
Maize,Uttar Pradesh,Kharif,30.94,74.83,7.14,29.58,Compost,77.74,Chlorantraniliprole,3.198
Rice,Uttar Pradesh,Kharif,24.68,81.33,6.44,42.29,MOP,154.56,Imidacloprid,3.765
Rice,Uttar Pradesh,Rabi,30.07,68.76,6.33,62.73,MOP,154.07,Imidacloprid,3.311
Wheat,Odisha,Rabi,27.24,58.72,5.7,31.56,SSP,111.0,Mancozeb,1.898
Mustard,Tamil Nadu,Zaid,27.14,64.04,6.21,45.89,Compost,70.83,Mancozeb,1.762
Wheat,Maharashtra,Rabi,30.49,65.36,6.16,42.02,Urea,140.16,Propiconazole,2.277
Groundnut,Maharashtra,Rabi,28.96,67.59,5.76,23.69,Urea,97.01,Dimethoate,2.58
Maize,Bihar,Rabi,35.04,80.73,6.03,43.34,DAP,115.74,Lambda-Cyhalothrin,4.608
Pulses,Uttar Pradesh,Zaid,29.22,51.87,7.75,38.31,DAP,77.44,Mancozeb,1.612
Cotton,Maharashtra,Kharif,32.67,61.69,6.18,28.5,Potash,145.38,Acephate,3.03
Maize,Maharashtra,Kharif,26.84,73.05,6.43,25.62,Urea,125.18,Chlorantraniliprole,3.509
Rice,Rajasthan,Rabi,29.16,90.08,5.93,38.05,MOP,148.96,Imidacloprid,4.025
Maize,Maharashtra,Kharif,22.1,49.44,6.19,46.87,Compost,71.83,Imidacloprid,1.787
Rice,Punjab,Zaid,32.54,57.71,7.46,29.01,Urea,159.33,Imidacloprid,2.999
Groundnut,Tamil Nadu,Rabi,24.87,40.47,6.83,33.94,Urea,97.27,Carbendazim,1.378
Sugarcane,Odisha,Rabi,29.5,58.29,7.49,49.23,Potash,194.06,Chlorpyrifos,3.905
Wheat,Rajasthan,Rabi,23.52,82.18,5.98,31.86,Urea,127.58,Mancozeb,2.788
Cotton,Punjab,Kharif,28.63,80.53,6.74,44.25,NPK,181.89,Acephate,3.904
Groundnut,Tamil Nadu,Zaid,29.07,86.06,6.28,44.96,Compost,58.42,Carbendazim,3.029
Rice,Bihar,Kharif,28.57,59.49,5.91,38.22,Urea,159.16,Imidacloprid,2.673
Rice,Bihar,Rabi,28.76,54.46,6.05,61.42,MOP,150.3,Cartap Hydrochloride,3.168
Cotton,Tamil Nadu,Zaid,34.71,57.6,7.39,26.94,Potash,145.53,Buprofezin,2.587
