Crop,Region,Season,Temperature_C,Humidity_%,Soil_pH,Soil_Moisture_%,Fertilizer_Name,Fertilizer_Amount_kg_per_acre,Pesticide_Name,Pesticide_Amount_kg_per_acre
Sugarcane,Uttar Pradesh,Rabi,31.13,73.63,5.89,45.52,NPK,250.71,Malathion,4.433
Jowar,West Bengal,Zaid,33.48,57.99,6.17,38.04,Urea,107.67,Chlorpyrifos,2.047
Sugarcane,Uttar Pradesh,Kharif,33.47,75.45,6.4,33.83,NPK,255.42,Malathion,4.875
Groundnut,Tamil Nadu,Zaid,27.39,60.73,5.97,57.0,Gypsum,52.31,Carbendazim,1.887
Cotton,Andhra Pradesh,Zaid,22.9,56.32,7.24,36.54,Compost,95.03,Imidacloprid,2.372
Potato,Punjab,Kharif,29.3,67.2,6.2,30.52,DAP,178.88,Cartap Hydrochloride,3.252
Potato,Odisha,Rabi,17.39,55.94,6.57,54.83,DAP,189.84,Cartap Hydrochloride,2.637
Jowar,Tamil Nadu,Kharif,27.26,74.79,6.35,29.71,Urea,105.67,Imidacloprid,2.538
Maize,Punjab,Rabi,27.28,43.29,6.99,43.96,Compost,73.16,Chlorantraniliprole,2.514
Wheat,Karnataka,Rabi,26.06,64.81,7.04,24.37,NPK,140.0,Mancozeb,2.295
Jowar,Maharashtra,Kharif,32.76,67.83,6.67,20.74,Urea,108.31,Chlorpyrifos,2.783
Wheat,Andhra Pradesh,Rabi,30.55,68.77,6.72,31.96,NPK,147.98,Propiconazole,2.298
Mustard,Uttar Pradesh,Zaid,35.07,63.01,7.33,35.96,Urea,112.09,Mancozeb,2.54
Jowar,Bihar,Zaid,23.47,71.39,6.25,36.74,SSP,98.13,Chlorpyrifos,2.795
Wheat,Bihar,Kharif,30.19,49.47,5.8,23.27,SSP,108.79,Mancozeb,2.029
Mustard,Odisha,Kharif,24.22,64.87,6.92,38.35,Compost,63.53,Imidacloprid,1.7
Jowar,Tamil Nadu,Kharif,30.86,59.97,7.07,53.11,Urea,111.85,Chlorpyrifos,2.469
Sugarcane,Maharashtra,Zaid,30.52,89.8,6.2,32.35,Potash,201.32,Imidacloprid,4.627
Groundnut,Karnataka,Zaid,31.26,60.72,6.46,18.95,Urea,96.77,Dimethoate,2.166
Sugarcane,Andhra Pradesh,Kharif,31.93,75.53,7.24,39.59,NPK,248.88,Malathion,4.777
Cotton,Karnataka,Rabi,18.35,83.47,6.05,66.69,NPK,186.68,Buprofezin,3.615
Mustard,Rajasthan,Zaid,26.69,56.53,7.16,31.88,SSP,96.31,Imidacloprid,1.444
Maize,Karnataka,Rabi,25.08,77.82,6.83,67.39,Compost,80.3,Chlorantraniliprole,3.708
Jowar,Uttar Pradesh,Zaid,31.84,63.6,4.93,56.62,SSP,95.58,Lambda-Cyhalothrin,2.544
Mustard,Uttar Pradesh,Zaid,18.84,81.94,6.04,30.68,Urea,108.36,Carbendazim,2.241
Mustard,Punjab,Kharif,23.19,56.98,6.37,39.27,SSP,101.22,Mancozeb,1.573
Rice,Rajasthan,Rabi,25.76,74.51,7.15,39.06,Urea,164.46,Imidacloprid,3.534
Mustard,Tamil Nadu,Rabi,27.08,80.61,6.7,51.83,Compost,73.95,Mancozeb,2.792
Jowar,Maharashtra,Kharif,29.63,53.54,6.87,29.33,Urea,102.58,Lambda-Cyhalothrin,2.18
Maize,Uttar Pradesh,Zaid,27.0,78.82,5.93,60.96,Urea,125.28,Chlorantraniliprole,3.34
Maize,Tamil Nadu,Zaid,24.38,68.03,6.4,29.48,Compost,71.87,Lambda-Cyhalothrin,3.105
Pulses,Maharashtra,Zaid,32.72,80.79,6.95,50.89,NPK,106.87,Imidacloprid,3.001
Maize,Tamil Nadu,Rabi,25.28,75.47,6.77,6.39,DAP,105.65,Imidacloprid,2.745
Pulses,Maharashtra,Rabi,28.54,74.69,6.42,34.48,NPK,98.67,Thiamethoxam,2.454
Potato,Maharashtra,Zaid,23.22,82.03,6.04,35.42,Urea,191.9,Mancozeb,3.552
Cotton,Andhra Pradesh,Rabi,31.29,58.51,6.77,53.09,Compost,111.38,Imidacloprid,3.148
Sugarcane,Rajasthan,Rabi,27.79,56.64,6.37,37.86,Potash,203.1,Malathion,3.167
Sugarcane,Maharashtra,Kharif,33.18,65.24,6.45,43.27,Potash,209.34,Imidacloprid,3.22
Rice,Tamil Nadu,Rabi,23.3,68.13,6.66,23.52,DAP,147.62,Cartap Hydrochloride,2.948
Rice,Tamil Nadu,Zaid,21.12,68.87,7.04,23.76,MOP,136.12,Imidacloprid,2.784
Mustard,Uttar Pradesh,Rabi,26.05,53.33,5.56,10.02,Compost,59.85,Carbendazim,1.317
Mustard,West Bengal,Kharif,26.56,68.13,5.51,57.82,SSP,99.52,Imidacloprid,1.934
Mustard,Uttar Pradesh,Rabi,27.37,55.8,6.23,25.72,Urea,109.22,Imidacloprid,1.258
Jowar,Andhra Pradesh,Rabi,32.94,63.68,6.45,54.67,Urea,118.8,Chlorpyrifos,2.37
Maize,Punjab,Zaid,28.12,64.12,5.57,26.22,Urea,112.01,Imidacloprid,2.416
Maize,Tamil Nadu,Zaid,23.75,67.27,7.24,24.92,Compost,70.28,Imidacloprid,2.32
Pulses,Tamil Nadu,Rabi,28.16,70.04,6.46,47.85,DAP,90.54,Mancozeb,2.361
Wheat,Karnataka,Zaid,23.94,63.56,6.62,68.49,NPK,145.93,Carbendazim,1.517
Cotton,Maharashtra,Kharif,27.51,50.13,6.53,29.7,Potash,136.66,Acephate,2.834
Potato,Punjab,Kharif,22.35,76.11,6.11,39.57,MOP,174.4,Carbendazim,2.757
Groundnut,Tamil Nadu,Rabi,28.9,72.91,5.75,46.92,Gypsum,44.85,Dimethoate,3.304
Potato,Karnataka,Kharif,24.62,43.96,6.82,39.53,Urea,191.56,Mancozeb,2.49
Jowar,Bihar,Rabi,29.78,60.64,5.91,58.32,SSP,94.62,Lambda-Cyhalothrin,2.375
Jowar,Bihar,Zaid,31.21,64.11,7.45,24.17,Urea,98.35,Chlorpyrifos,2.431
Sugarcane,Uttar Pradesh,Zaid,34.07,67.67,6.02,26.93,Potash,194.67,Imidacloprid,3.479
Pulses,Rajasthan,Kharif,25.08,71.8,6.78,17.63,Compost,50.24,Mancozeb,2.026
Potato,Odisha,Rabi,25.58,47.18,5.95,37.54,DAP,193.05,Mancozeb,2.873
Wheat,Odisha,Rabi,32.12,73.65,6.34,59.09,NPK,154.26,Propiconazole,2.938
Wheat,West Bengal,Rabi,26.16,60.4,6.85,26.65,NPK,140.04,Carbendazim,1.446
Potato,Uttar Pradesh,Kharif,22.53,76.39,7.21,52.03,Urea,198.19,Mancozeb,3.543
Jowar,Bihar,Zaid,19.48,77.6,6.15,46.87,NPK,114.8,Lambda-Cyhalothrin,3.026
Jowar,Rajasthan,Kharif,29.2,82.51,6.41,39.07,Urea,117.06,Chlorpyrifos,3.209
Mustard,Punjab,Zaid,27.34,64.51,6.93,42.54,Urea,112.11,Mancozeb,2.11
Groundnut,Andhra Pradesh,Kharif,27.04,69.08,5.91,45.23,Compost,62.6,Carbendazim,1.96
Wheat,Rajasthan,Kharif,28.54,59.01,6.95,62.01,Urea,139.13,Carbendazim,2.149
Jowar,Bihar,Kharif,25.33,59.17,5.65,37.33,SSP,94.35,Chlorpyrifos,1.847
Mustard,West Bengal,Zaid,33.85,67.64,5.01,39.28,Urea,107.33,Mancozeb,2.503
Mustard,Punjab,Zaid,30.87,66.03,6.82,46.61,Compost,71.85,Imidacloprid,1.975
Rice,Andhra Pradesh,Rabi,30.12,75.26,7.64,54.23,Urea,159.23,Cartap Hydrochloride,3.792
Pulses,West Bengal,Kharif,16.71,83.91,6.07,19.87,DAP,84.78,Imidacloprid,2.715
Sugarcane,Punjab,Kharif,23.73,67.17,5.98,24.75,Potash,203.04,Chlorpyrifos,4.091
Groundnut,Andhra Pradesh,Rabi,22.73,96.75,5.47,45.88,Urea,105.09,Dimethoate,4.26
Cotton,Tamil Nadu,Kharif,36.85,71.81,7.08,39.88,NPK,184.97,Imidacloprid,3.582
Jowar,Uttar Pradesh,Rabi,31.42,81.12,6.53,69.69,Urea,125.04,Lambda-Cyhalothrin,3.419
Jowar,Uttar Pradesh,Zaid,30.78,70.41,6.29,40.3,SSP,97.88,Chlorpyrifos,2.667
Cotton,Maharashtra,Kharif,27.38,83.19,6.2,37.58,NPK,179.52,Acephate,4.017
Maize,Karnataka,Zaid,23.14,79.05,5.36,45.05,DAP,111.53,Lambda-Cyhalothrin,3.987
Potato,Andhra Pradesh,Kharif,17.86,60.47,7.1,26.1,MOP,170.24,Cartap Hydrochloride,2.309
Pulses,Bihar,Kharif,25.15,66.08,6.68,31.41,DAP,83.57,Imidacloprid,1.69
Groundnut,West Bengal,Kharif,27.74,57.78,6.53,49.94,Gypsum,48.43,Chlorpyrifos,2.121
Pulses,Odisha,Kharif,28.34,71.94,7.23,37.59,Compost,54.19,Imidacloprid,1.828
Pulses,Karnataka,Zaid,27.46,51.79,6.42,45.91,NPK,97.43,Imidacloprid,1.715
Mustard,Andhra Pradesh,Kharif,22.24,60.12,7.0,47.96,SSP,102.06,Mancozeb,1.582
Pulses,Karnataka,Zaid,22.54,64.14,7.57,37.24,Compost,51.44,Thiamethoxam,1.514
Pulses,West Bengal,Kharif,32.75,58.74,7.73,53.45,NPK,97.67,Imidacloprid,1.833
Potato,Karnataka,Kharif,16.66,68.4,6.8,29.97,DAP,179.61,Carbendazim,2.196
Cotton,Andhra Pradesh,Rabi,29.09,90.67,6.61,21.78,Compost,101.41,Imidacloprid,3.83
Jowar,Maharashtra,Zaid,23.02,75.02,6.65,37.13,Urea,108.52,Lambda-Cyhalothrin,2.536
Groundnut,Punjab,Rabi,31.42,74.52,6.32,55.1,Urea,112.34,Dimethoate,2.933
Rice,Punjab,Rabi,29.63,52.62,6.07,37.87,DAP,146.46,Chlorpyrifos,3.252
Sugarcane,Karnataka,Rabi,31.92,67.29,6.12,64.02,Potash,205.22,Malathion,4.275
Wheat,Andhra Pradesh,Zaid,26.22,82.16,6.38,48.51,Urea,138.49,Carbendazim,2.681
Groundnut,Uttar Pradesh,Kharif,32.86,73.7,5.73,20.35,Gypsum,44.27,Carbendazim,2.292
Groundnut,Rajasthan,Kharif,29.64,72.48,6.5,47.47,Urea,105.73,Chlorpyrifos,2.837
Wheat,Uttar Pradesh,Zaid,27.99,75.35,5.81,51.9,NPK,140.71,Carbendazim,2.265
Groundnut,Rajasthan,Kharif,21.69,65.54,6.32,28.59,Gypsum,49.39,Chlorpyrifos,1.948
Wheat,Uttar Pradesh,Rabi,28.84,83.01,7.22,46.5,SSP,128.7,Carbendazim,2.449
Maize,Bihar,Kharif,21.14,68.32,7.1,48.92,Urea,125.38,Lambda-Cyhalothrin,3.274
Groundnut,Andhra Pradesh,Zaid,24.61,85.44,6.79,35.97,Gypsum,50.9,Dimethoate,2.95
Maize,Bihar,Kharif,27.12,74.72,6.22,48.58,Urea,130.36,Lambda-Cyhalothrin,3.827
Sugarcane,Punjab,Kharif,34.84,57.44,6.6,48.95,Potash,203.08,Malathion,3.734
Pulses,Uttar Pradesh,Kharif,28.31,78.26,6.77,33.89,NPK,94.39,Imidacloprid,2.089
Jowar,Tamil Nadu,Kharif,27.29,96.3,6.12,28.51,SSP,102.97,Imidacloprid,3.263
Cotton,Karnataka,Kharif,35.92,69.53,5.8,35.94,Potash,140.87,Acephate,3.672
Groundnut,Tamil Nadu,Kharif,21.68,53.46,6.73,68.93,Compost,64.18,Dimethoate,2.262
Mustard,Bihar,Kharif,29.58,82.71,6.89,40.74,SSP,101.98,Carbendazim,2.125
Pulses,Maharashtra,Kharif,29.1,71.37,6.38,40.32,Compost,58.39,Thiamethoxam,1.984
Rice,West Bengal,Kharif,31.73,59.87,5.78,40.49,Urea,162.26,Imidacloprid,2.908
Groundnut,Karnataka,Zaid,18.97,78.71,5.72,55.27,Urea,105.37,Chlorpyrifos,3.496
Potato,Karnataka,Zaid,22.07,35.78,5.97,47.93,MOP,167.72,Cartap Hydrochloride,2.554
Sugarcane,West Bengal,Kharif,34.47,69.77,7.34,55.52,NPK,256.13,Imidacloprid,3.816
Groundnut,Maharashtra,Zaid,19.71,83.09,6.44,48.68,Urea,104.64,Carbendazim,2.912
Wheat,Andhra Pradesh,Kharif,31.96,55.66,7.1,33.11,SSP,117.07,Carbendazim,1.636
Sugarcane,Uttar Pradesh,Rabi,29.02,68.29,5.71,41.21,Urea,231.67,Chlorpyrifos,3.943
Wheat,Uttar Pradesh,Kharif,29.69,85.27,6.57,35.94,NPK,138.11,Propiconazole,3.347
Pulses,Karnataka,Kharif,30.18,70.5,7.55,72.38,NPK,108.45,Imidacloprid,2.462
Cotton,West Bengal,Kharif,32.75,45.21,6.24,24.29,NPK,177.24,Acephate,3.15
Potato,Tamil Nadu,Kharif,24.03,62.67,5.9,36.02,MOP,166.86,Mancozeb,2.905
Pulses,Odisha,Rabi,28.48,68.33,5.85,51.21,DAP,91.87,Thiamethoxam,2.363
Maize,Rajasthan,Zaid,21.77,65.45,6.73,53.18,Compost,76.86,Lambda-Cyhalothrin,2.931
Cotton,Punjab,Kharif,35.25,44.88,4.98,26.32,NPK,169.38,Buprofezin,2.535
Jowar,Odisha,Zaid,30.11,43.18,7.2,35.86,Urea,99.4,Lambda-Cyhalothrin,2.175
Pulses,Andhra Pradesh,Rabi,29.7,66.95,6.55,21.44,Compost,51.75,Mancozeb,1.982
Jowar,Uttar Pradesh,Zaid,19.62,72.77,5.62,45.21,Urea,109.8,Lambda-Cyhalothrin,2.988
Mustard,West Bengal,Rabi,27.52,86.21,7.21,5,Compost,64.61,Carbendazim,2.213
Wheat,Maharashtra,Zaid,28.59,68.65,5.59,51.17,Urea,136.61,Mancozeb,2.813
Wheat,Karnataka,Rabi,31.52,46.28,5.96,76.52,Urea,148.88,Propiconazole,2.453
Potato,Andhra Pradesh,Rabi,21.7,64.15,7.39,49.92,DAP,185.84,Cartap Hydrochloride,2.7
Sugarcane,Bihar,Kharif,32.02,79.26,7.0,32.42,Potash,195.32,Malathion,5.078
Pulses,Punjab,Rabi,18.73,78.2,6.84,51.78,DAP,90.42,Mancozeb,2.654
Potato,Andhra Pradesh,Kharif,18.14,61.67,6.23,67.84,Urea,203.21,Cartap Hydrochloride,2.802
Wheat,Bihar,Zaid,26.77,69.93,6.84,72.99,NPK,153.02,Mancozeb,2.484
Wheat,Andhra Pradesh,Kharif,19.71,76.12,7.05,29.28,NPK,135.55,Propiconazole,2.188
Wheat,Odisha,Kharif,31.45,49.49,5.82,22.68,NPK,128.12,Mancozeb,1.762
Groundnut,Karnataka,Kharif,27.05,67.46,6.68,58.07,Gypsum,50.8,Chlorpyrifos,2.889
Cotton,Maharashtra,Kharif,27.14,67.1,6.06,48.15,Compost,100.99,Imidacloprid,3.15
Cotton,Bihar,Rabi,25.28,59.65,6.77,44.2,NPK,189.55,Acephate,2.812
Potato,Uttar Pradesh,Rabi,25.61,68.53,5.88,38.08,Urea,202.64,Mancozeb,3.21
Rice,Maharashtra,Zaid,30.87,80.37,6.32,40.52,DAP,159.67,Imidacloprid,3.977
Maize,Andhra Pradesh,Rabi,32.03,74.76,7.33,30.32,DAP,113.2,Imidacloprid,2.726
Jowar,Tamil Nadu,Zaid,19.48,74.02,6.04,37.82,NPK,116.97,Imidacloprid,2.354
Cotton,Odisha,Rabi,20.73,86.99,6.61,34.02,NPK,173.87,Imidacloprid,3.903
Rice,Maharashtra,Rabi,32.15,63.77,6.32,28.89,MOP,146.25,Chlorpyrifos,3.567
Wheat,Bihar,Rabi,27.72,59.03,6.72,38.36,Urea,141.41,Mancozeb,2.174
Jowar,Maharashtra,Kharif,31.72,77.84,7.04,66.72,Urea,121.35,Lambda-Cyhalothrin,3.874
Sugarcane,Karnataka,Kharif,35.11,73.69,7.2,64.64,NPK,262.88,Imidacloprid,3.811
Jowar,Bihar,Zaid,25.07,75.5,6.14,60.42,SSP,105.61,Lambda-Cyhalothrin,3.336
Sugarcane,West Bengal,Zaid,39.92,69.4,6.39,12.14,NPK,248.67,Chlorpyrifos,4.407
Potato,Andhra Pradesh,Zaid,25.37,67.37,6.34,66.23,MOP,180.98,Cartap Hydrochloride,3.181
Maize,Rajasthan,Rabi,26.02,62.2,6.57,30.69,Urea,122.94,Chlorantraniliprole,2.708
Wheat,Andhra Pradesh,Kharif,23.66,60.15,6.33,35.35,SSP,119.02,Propiconazole,1.807
Cotton,Bihar,Kharif,34.55,74.7,5.61,34.77,Compost,93.9,Acephate,4.173
Rice,Tamil Nadu,Rabi,38.02,45.49,7.12,50.8,MOP,146.06,Cartap Hydrochloride,3.78
Rice,Rajasthan,Zaid,31.91,60.31,6.36,51.02,Urea,166.41,Cartap Hydrochloride,3.089
Cotton,Punjab,Kharif,29.7,71.14,7.22,24.98,Compost,100.73,Buprofezin,2.756
Wheat,Odisha,Rabi,23.54,64.54,5.76,61.72,NPK,150.74,Propiconazole,2.206
Rice,Karnataka,Rabi,22.72,92.08,6.47,43.83,MOP,150.52,Chlorpyrifos,4.706
Mustard,Karnataka,Rabi,25.72,78.83,6.3,80.28,Compost,81.81,Carbendazim,2.051
Cotton,Odisha,Rabi,29.67,58.75,5.59,33.17,Compost,104.5,Buprofezin,2.552
Rice,Rajasthan,Rabi,32.33,47.15,6.32,46.36,MOP,146.62,Chlorpyrifos,3.502
Potato,Punjab,Kharif,20.23,61.6,7.07,54.79,MOP,174.39,Carbendazim,2.136
Pulses,Andhra Pradesh,Kharif,26.36,75.59,6.71,37.84,NPK,100.09,Thiamethoxam,2.576
Pulses,Maharashtra,Zaid,23.76,81.68,6.34,28.1,DAP,86.97,Mancozeb,2.609
Maize,Maharashtra,Rabi,23.32,62.76,6.26,37.07,Urea,119.04,Imidacloprid,2.227
Jowar,Maharashtra,Zaid,27.97,62.4,6.43,38.56,NPK,113.0,Lambda-Cyhalothrin,2.12
Potato,Punjab,Rabi,20.87,53.06,5.9,31.06,Urea,197.55,Carbendazim,1.859
Maize,West Bengal,Kharif,37.09,72.32,6.46,67.38,DAP,136.3,Lambda-Cyhalothrin,4.19
Potato,Rajasthan,Kharif,17.89,65.31,6.95,25.18,Urea,186.02,Mancozeb,2.754
Mustard,Tamil Nadu,Kharif,25.13,69.97,6.46,31.31,SSP,101.89,Mancozeb,2.087
Maize,Uttar Pradesh,Zaid,27.87,63.53,7.1,61.99,Compost,76.28,Chlorantraniliprole,2.666
Mustard,West Bengal,Rabi,32.37,71.1,5.48,30.97,SSP,98.7,Imidacloprid,2.305
Potato,Tamil Nadu,Zaid,23.86,50.0,7.08,31.98,DAP,174.8,Carbendazim,2.073
Cotton,West Bengal,Kharif,17.18,59.37,5.86,29.34,Compost,104.49,Imidacloprid,2.306
Wheat,Rajasthan,Zaid,23.15,59.67,6.59,48.2,NPK,143.9,Mancozeb,1.984
Mustard,Punjab,Zaid,37.17,67.73,7.05,36.94,Urea,110.88,Imidacloprid,2.552
Jowar,Punjab,Rabi,27.76,85.27,5.71,33.36,Urea,109.12,Lambda-Cyhalothrin,3.68
Maize,Uttar Pradesh,Kharif,30.94,72.83,7.09,29.84,Compost,77.92,Chlorantraniliprole,2.993
Rice,Uttar Pradesh,Kharif,24.68,79.33,6.45,44.67,MOP,159.06,Imidacloprid,3.571
Jowar,Karnataka,Kharif,29.35,72.49,5.85,62.07,NPK,122.67,Lambda-Cyhalothrin,3.314
Cotton,Odisha,Rabi,31.17,50.7,6.31,28.7,Compost,101.28,Buprofezin,2.502
Mustard,Tamil Nadu,Zaid,27.14,62.04,6.23,48.87,Compost,70.05,Mancozeb,1.618
Wheat,Maharashtra,Rabi,30.49,63.36,6.19,44.35,Urea,144.36,Propiconazole,2.12
Groundnut,West Bengal,Kharif,28.96,65.59,5.82,22.97,Urea,95.55,Dimethoate,2.424
Pulses,Bihar,Rabi,20.99,76.89,6.38,46.8,NPK,97.35,Thiamethoxam,2.519
Pulses,Andhra Pradesh,Zaid,29.22,49.87,7.65,40.03,DAP,78.91,Mancozeb,1.593
Wheat,Tamil Nadu,Kharif,24.72,62.73,7.04,25.31,NPK,133.63,Carbendazim,1.826
Maize,Punjab,Kharif,23.25,75.2,6.85,30.73,DAP,120.99,Imidacloprid,2.809
Jowar,Tamil Nadu,Kharif,30.71,78.73,7.04,36.41,SSP,100.31,Chlorpyrifos,3.183
Sugarcane,Rajasthan,Zaid,34.42,71.06,6.23,46.07,Urea,236.57,Imidacloprid,3.85
